[ 2026-04-15 17:47:16,466 ] 22 root - INFO - Initiate the data ingestion
[ 2026-04-15 17:47:27,721 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-15 17:47:27,721 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-15 17:47:27,721 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-15 17:47:27,775 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-15 17:47:27,775 ] 24 root - INFO - Data Initiation Completed
[ 2026-04-15 17:47:27,807 ] 28 root - INFO - Initiate the data Validation
[ 2026-04-15 17:47:27,884 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 17:47:27,884 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 17:47:27,884 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 17:47:27,884 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 17:47:28,078 ] 30 root - INFO - data Validation Completed
[ 2026-04-15 17:47:28,078 ] 33 root - INFO - data Transformation started
[ 2026-04-15 17:47:28,078 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-15 17:47:28,078 ] 65 root - INFO - Starting data transformation
[ 2026-04-15 17:47:28,131 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-15 17:47:28,131 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-15 17:47:28,150 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 17:47:28,154 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 17:47:28,154 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 17:47:28,155 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 17:47:28,155 ] 37 root - INFO - data Transformation completed
[ 2026-04-15 17:47:28,155 ] 38 root - INFO - Model Training sstared
[ 2026-04-15 17:50:54,760 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 17:50:54,762 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 17:50:54,762 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 17:50:54,809 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 17:50:54,809 ] 122 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_15_2026_17_47_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914720812182741, precision_score=0.989864180012163, recall_score=0.9930852145617246), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9718423169750603, precision_score=0.9695024077046549, recall_score=0.9741935483870968))
[ 2026-04-15 17:50:54,812 ] 43 root - INFO - Model Training artifact created
