[ 2026-04-15 01:33:11,252 ] 22 root - INFO - Initiate the data ingestion
[ 2026-04-15 01:33:21,752 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-15 01:33:21,752 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-15 01:33:21,752 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-15 01:33:21,783 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-15 01:33:21,783 ] 24 root - INFO - Data Initiation Completed
[ 2026-04-15 01:33:21,799 ] 28 root - INFO - Initiate the data Validation
[ 2026-04-15 01:33:21,837 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 01:33:21,838 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 01:33:21,838 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 01:33:21,838 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 01:33:21,951 ] 30 root - INFO - data Validation Completed
[ 2026-04-15 01:33:21,951 ] 33 root - INFO - data Transformation started
[ 2026-04-15 01:33:21,951 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-15 01:33:21,951 ] 65 root - INFO - Starting data transformation
[ 2026-04-15 01:33:21,967 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-15 01:33:21,967 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-15 01:33:21,967 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 01:33:21,980 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 01:33:21,980 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 01:33:21,982 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 01:33:21,983 ] 37 root - INFO - data Transformation completed
