[ 2026-04-13 20:20:10,461 ] 21 root - INFO - Initiate the data ingestion
[ 2026-04-13 20:20:21,274 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-13 20:20:21,274 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-13 20:20:21,274 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-13 20:20:21,308 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-13 20:20:21,308 ] 23 root - INFO - Data Initiation Completed
[ 2026-04-13 20:20:21,320 ] 27 root - INFO - Initiate the data Validation
[ 2026-04-13 20:20:21,360 ] 32 root - INFO - Required number of columns:2
[ 2026-04-13 20:20:21,360 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-13 20:20:21,360 ] 32 root - INFO - Required number of columns:2
[ 2026-04-13 20:20:21,360 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-13 20:20:21,466 ] 29 root - INFO - data Validation Completed
