[ 2026-04-15 19:17:10,226 ] 22 root - INFO - Initiate the data ingestion
[ 2026-04-15 19:17:21,477 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-15 19:17:21,477 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-15 19:17:21,477 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-15 19:17:21,539 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-15 19:17:21,539 ] 24 root - INFO - Data Initiation Completed
[ 2026-04-15 19:17:21,554 ] 28 root - INFO - Initiate the data Validation
[ 2026-04-15 19:17:21,653 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 19:17:21,653 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 19:17:21,653 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 19:17:21,653 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 19:17:21,802 ] 30 root - INFO - data Validation Completed
[ 2026-04-15 19:17:21,802 ] 33 root - INFO - data Transformation started
[ 2026-04-15 19:17:21,802 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-15 19:17:21,802 ] 65 root - INFO - Starting data transformation
[ 2026-04-15 19:17:21,819 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-15 19:17:21,819 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-15 19:17:21,832 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 19:17:21,835 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 19:17:21,835 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 19:17:21,838 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 19:17:21,838 ] 37 root - INFO - data Transformation completed
[ 2026-04-15 19:17:21,838 ] 38 root - INFO - Model Training sstared
[ 2026-04-15 19:20:55,586 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 19:20:55,586 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 19:20:55,586 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 19:20:55,626 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 19:20:55,626 ] 138 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_15_2026_19_17_05\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916203937405351, precision_score=0.9897218863361548, recall_score=0.9935261986647784), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9762489762489762, precision_score=0.9706840390879479, recall_score=0.9818780889621087))
[ 2026-04-15 19:20:55,631 ] 43 root - INFO - Model Training artifact created
